popularity_rank,domain,Populated,Number_of_accessibility_errors_detected,WCAG_2_A/AA_failure_detected,Number_of_page_elements,Error_density_Percentage,Top_error_types_detected
11,mail.ru,Yes,42,6,78,53.85,color-contrast; button-name; link-name; list; aria-input-field-name
12,instagram.com,Yes,5,1,41,12.2,link-in-text-block; aria-dialog-name; heading-order; meta-viewport-large
13,akamai.net,No,,,,,
14,fbcdn.net,Yes,2,0,7,28.57,landmark-one-main; page-has-heading-one
15,twitter.com,Yes,3,1,28,10.71,document-title; page-has-heading-one; region
16,dzen.ru,Yes,5,1,39,12.82,color-contrast; aria-allowed-role
17,linkedin.com,Yes,1,1,46,2.17,nested-interactive
18,live.com,Yes,3,2,15,20.0,aria-allowed-role; html-has-lang; meta-viewport
19,googletagmanager.com,Yes,5,0,18,27.78,region; landmark-one-main; page-has-heading-one
20,googlevideo.com,No,,,,,
21,office.com,Yes,4,1,46,8.7,link-name; region
22,akamaiedge.net,No,,,,,
23,akadns.net,No,,,,,
24,amazon.com,Yes,3,1,9,33.33,document-title; landmark-one-main; page-has-heading-one
25,azure.com,Yes,1,0,51,1.96,region
26,googleusercontent.com,Yes,5,0,18,27.78,region; landmark-one-main; page-has-heading-one
27,wikipedia.org,Yes,1,0,46,2.17,heading-order
28,domaincontrol.com,No,,,,,
29,github.com,Yes,1,0,50,2.0,landmark-unique
30,ezviz7.com,No,,,,,
31,doubleclick.net,Yes,9,2,52,17.31,svg-img-alt; aria-allowed-attr; region
32,bing.com,Yes,5,0,53,9.43,region; landmark-banner-is-top-level
33,microsoftonline.com,No,,,,,
34,fastly.net,Yes,10,4,55,18.18,color-contrast; region; heading-order; link-name; nested-interactive
35,appsflyersdk.com,Yes,8,2,10,80.0,region; document-title; html-has-lang; landmark-one-main; page-has-heading-one
36,whatsapp.net,Yes,34,0,77,44.16,region; aria-allowed-role; heading-order; landmark-one-main
37,trafficmanager.net,No,,,,,
38,apple-dns.net,No,,,,,
39,office.net,No,,,,,
40,netflix.com,Yes,16,1,55,29.09,region; heading-order; landmark-unique; meta-viewport
41,digicert.com,Yes,5,3,10,50.0,document-title; frame-title; html-has-lang; landmark-one-main; page-has-heading-one
42,wordpress.org,Yes,1,1,45,2.22,link-in-text-block
43,aaplimg.com,No,,,,,
44,skype.com,Yes,0,0,27,0.0,
45,sharepoint.com,No,,,,,
46,youtu.be,Yes,4,1,48,8.33,aria-allowed-attr
47,ripn.net,No,,,,,
48,pinterest.com,Yes,0,0,10,0.0,
49,whatsapp.com,Yes,32,0,75,42.67,region; aria-allowed-role; heading-order; landmark-one-main
50,gandi.net,Yes,16,1,61,26.23,region; empty-heading; heading-order; aria-required-children
51,goo.gl,Yes,8,3,17,47.06,region; html-has-lang; image-alt; landmark-one-main; link-name
52,cloudfront.net,No,,,,,
53,googlesyndication.com,Yes,0,0,32,0.0,
54,yahoo.com,Yes,5,3,38,13.16,link-in-text-block; html-has-lang; meta-viewport
55,x.com,Yes,3,2,17,17.65,aria-prohibited-attr; document-title; region
56,cloud.microsoft,Yes,5,1,48,10.42,link-name; region; empty-heading
57,hicloudcam.com,No,,,,,
58,tiktok.com,Yes,2,0,14,14.29,page-has-heading-one; region
59,icloud.com,Yes,1,0,22,4.55,region
60,msn.com,Yes,2,0,9,22.22,landmark-one-main; page-has-heading-one
61,spotify.com,Yes,3,1,9,33.33,landmark-one-main; meta-viewport; page-has-heading-one
62,windowsupdate.com,No,,,,,
63,gvt1.com,No,,,,,
64,adobe.com,No,,,,,
65,vimeo.com,Yes,105,1,145,72.41,region; image-redundant-alt; frame-title; aria-allowed-role; heading-order
66,cloudflare.net,Yes,64,6,108,59.26,aria-hidden-focus; color-contrast; aria-required-children; image-alt; aria-allowed-attr
67,ntp.org,Yes,32,5,58,55.17,color-contrast; image-alt; nested-interactive; link-name; region
68,chatgpt.com,Yes,3,2,41,7.32,aria-allowed-attr; color-contrast; region
69,googledomains.com,Yes,2,0,39,5.13,landmark-banner-is-top-level; landmark-contentinfo-is-top-level
70,windows.net,No,,,,,
71,telekom.de,Yes,10,0,52,19.23,region; image-redundant-alt; landmark-unique
72,wa.me,Yes,5,1,47,10.64,aria-allowed-role; color-contrast; heading-order; landmark-one-main; region
73,akam.net,No,,,,,
74,tiktokcdn.com,No,,,,,
75,myfritz.net,Yes,2,0,7,28.57,landmark-one-main; page-has-heading-one
76,gvt2.com,No,,,,,
77,zoom.us,Yes,14,6,58,24.14,color-contrast; image-alt; aria-allowed-role; image-redundant-alt; aria-allowed-attr
78,roblox.com,Yes,18,2,56,32.14,region; select-name; aria-progressbar-name; autocomplete-valid; landmark-one-main
79,tiktokv.com,Yes,4,1,12,33.33,region; html-has-lang; landmark-one-main
80,ytimg.com,No,,,,,
81,qq.com,Yes,134,6,160,83.75,region; color-contrast; link-name; image-alt; aria-roles
82,pv-cdn.net,No,,,,,
83,cloudflare-dns.com,Yes,14,4,49,28.57,color-contrast; link-name; empty-heading; frame-title; meta-viewport
84,yandex.net,Yes,7,2,41,17.07,color-contrast; aria-allowed-role; aria-required-attr; page-has-heading-one
85,baidu.com,Yes,56,5,79,70.89,region; image-alt; color-contrast; aria-allowed-attr; html-has-lang
86,nginx.org,Yes,7,2,31,22.58,region; heading-order; html-has-lang; label; landmark-one-main
87,workers.dev,Yes,3,1,45,6.67,color-contrast
88,edgekey.net,No,,,,,
89,mozilla.org,Yes,4,1,42,9.52,region; aria-allowed-attr; landmark-unique
90,opera.com,Yes,6,1,51,11.76,nested-interactive; region
91,nic.ru,No,,,,,
92,windows.com,Yes,1,0,45,2.22,region
93,yandex.ru,Yes,56,7,89,62.92,aria-valid-attr-value; listitem; aria-allowed-attr; region; link-name
94,samsung.com,Yes,31,4,71,43.66,aria-required-parent; listitem; aria-required-children; empty-heading; link-name
95,sentry.io,Yes,2,1,51,3.92,aria-command-name; empty-heading
97,nginx.com,Yes,18,0,60,30.0,region; landmark-unique; heading-order; image-redundant-alt; landmark-one-main
98,edgesuite.net,No,,,,,
99,wordpress.com,Yes,8,3,56,14.29,aria-allowed-attr; presentation-role-conflict; color-contrast; label-title-only; label
100,office365.com,Yes,5,2,11,45.45,color-contrast; html-has-lang; landmark-one-main; region
101,bit.ly,Yes,16,2,65,24.62,region; aria-allowed-role; heading-order; listitem; aria-required-children
102,ui.com,Yes,32,4,72,44.44,color-contrast; nested-interactive; aria-hidden-focus; landmark-unique; link-name
103,okcdn.ru,Yes,4,1,12,33.33,region; html-has-lang; landmark-one-main
104,cdninstagram.com,No,,,,,
105,root-servers.net,No,,,,,
106,reddit.com,Yes,6,3,12,50.0,document-title; html-has-lang; image-alt; landmark-one-main; page-has-heading-one
107,discord.gg,Yes,18,2,58,31.03,region; link-name; nested-interactive
108,criteo.com,Yes,121,8,160,75.62,listitem; region; link-name; aria-allowed-role; aria-allowed-attr
109,a2z.com,No,,,,,
110,googleadservices.com,Yes,5,0,18,27.78,region; landmark-one-main; page-has-heading-one
111,trbcdn.net,No,,,,,
112,t.me,Yes,60,4,76,78.95,color-contrast; image-alt; region; link-name; empty-heading
113,blogspot.com,Yes,6,1,45,13.33,color-contrast
114,europa.eu,Yes,1,0,45,2.22,region
115,vedcdnlb.com,No,,,,,
116,keenetic.io,No,,,,,
117,vk.com,Yes,7,0,39,17.95,region
118,f5.com,Yes,39,0,82,47.56,region; heading-order; landmark-unique; landmark-one-main
119,b-cdn.net,Yes,19,3,59,32.2,link-name; color-contrast; heading-order; image-alt; region
