popularity_rank,domain,Populated,Number_of_accessibility_errors_detected,WCAG_2_A/AA_failure_detected,Number_of_page_elements,Error_density_Percentage,Top_error_types_detected
1,google.com,Yes,0,0,32,0.0,
2,gtld-servers.net,No,,,,,
3,cloudflare.com,Yes,2,1,45,4.44,color-contrast
4,gstatic.com,Yes,5,0,18,27.78,region; landmark-one-main; page-has-heading-one
5,facebook.com,Yes,1,0,33,3.03,aria-dialog-name
6,microsoft.com,Yes,0,0,48,0.0,
7,googleapis.com,Yes,5,0,18,27.78,region; landmark-one-main; page-has-heading-one
8,youtube.com,Yes,4,1,48,8.33,aria-allowed-attr
9,amazonaws.com,Yes,18,5,62,29.03,aria-required-parent; heading-order; aria-prohibited-attr; aria-required-children; aria-valid-attr-value
10,apple.com,Yes,7,2,53,13.21,aria-allowed-role; aria-required-children; color-contrast; region
