epoch,total_epochs,loss,node_acc,pos_pred,pos_target,graph_acc,hard_neg,hard_pos,pos_weight,node_w,clean_node_loss,pos_page_node_loss,graph_node_loss,val_loss,val_node_p,val_node_r,val_node_f1,val_graph_p,val_graph_r,val_graph_f1,rule_p,rule_r,rule_f1,best_node_f1_so_far,checkpoint_saved
1,30,29.167,0.9815,8.8,2.6,0.5293,2337,3,50.0,19.5,0.0091,1.5612,0.0039,11.7005,0.0,0.0,0.0,0.0,0.0,0.4838,0.1071,0.0178,0.0305,0.0,True
2,30,19.5082,0.9907,0.0,2.6,0.5167,22,3,50.0,21.2,0.0007,1.4271,0.008,10.4484,0.1092,0.0387,0.0571,0.0,0.0,0.4838,0.0097,0.0534,0.0164,0.0571,True
3,30,17.5217,0.9896,0.0,3.8,0.4791,103,4,50.0,23.0,0.0012,1.1567,0.0307,9.3195,0.1196,0.0744,0.0917,0.0,0.0,0.4838,0.0092,0.0772,0.0165,0.0917,True
4,30,16.1646,0.9875,0.0,3.2,0.4749,48,3,50.0,22.5,0.0008,1.1129,0.0331,9.3066,0.3202,0.2173,0.2589,0.0,0.0,0.4838,0.0288,0.0742,0.0415,0.2589,True
5,30,12.9402,0.9897,0.0,3.3,0.4895,62,3,50.0,22.2,0.0008,0.9577,0.0464,11.5039,0.125,0.0208,0.0357,0.0,0.0,0.4838,0.0263,0.0475,0.0338,0.2589,False
6,30,13.5339,0.9879,0.2,3.3,0.5146,64,3,50.0,20.9,0.0007,0.8586,0.0602,8.8852,0.1447,0.0685,0.0929,0.0,0.0,0.4838,0.0192,0.0742,0.0305,0.2589,False
7,30,12.6566,0.9912,0.4,2.5,0.477,59,2,50.0,23.1,0.0008,0.8017,0.106,8.7001,0.1201,0.128,0.1239,0.0,0.0,0.4838,0.0115,0.0682,0.0196,0.2589,False
8,30,9.2265,0.9955,2.1,3.7,0.4854,104,3,50.0,23.2,0.001,0.5857,0.2232,10.4756,0.08,0.0238,0.0367,0.0,0.0,0.4838,0.0171,0.0564,0.0263,0.2589,False
9,30,9.6227,0.9923,1.4,2.7,0.4686,88,3,50.0,22.7,0.0009,0.5289,0.2328,9.1483,0.0489,0.0685,0.0571,0.0,0.0,0.4838,0.0053,0.0831,0.01,0.2589,False
10,30,7.0759,0.9943,1.6,2.1,0.5105,74,2,50.0,21.4,0.0014,0.3998,0.29,12.2184,0.122,0.0298,0.0478,0.0,0.0,0.4838,0.0235,0.0593,0.0336,0.2589,False
11,30,10.3614,0.9942,2.5,3.3,0.4916,111,3,50.0,22.8,0.0009,0.3457,0.3381,11.395,0.0994,0.0476,0.0644,0.0,0.0,0.4838,0.0088,0.0831,0.016,0.2589,False
12,30,8.5505,0.9948,3.3,3.8,0.4749,133,3,50.0,23.5,0.0007,0.3317,0.3573,9.4709,0.2333,0.4464,0.3064,0.0,0.0,0.4838,0.0199,0.4955,0.0383,0.3064,True
13,30,5.8241,0.997,3.2,3.5,0.4707,106,2,50.0,24.0,0.0008,0.1974,0.4031,9.8444,0.2314,0.4524,0.3061,0.0,0.0,0.4838,0.0316,0.4807,0.0593,0.3064,False
14,30,7.405,0.9956,3.2,3.7,0.4812,92,3,50.0,22.3,0.0005,0.2821,0.392,14.1388,0.7157,0.4196,0.5291,0.0,0.0,0.4838,0.1556,0.4303,0.2285,0.5291,True
15,30,5.8981,0.9959,3.2,3.3,0.4728,96,2,50.0,23.2,0.0007,0.2143,0.4078,11.7385,0.0508,0.0446,0.0475,0.0,0.0,0.4838,0.0069,0.0653,0.0125,0.5291,False
